"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000006756.15","ENSG00000006756.15","ARSD",-0.603117756406135,1.11217671661548,-3.89568970981629,0.000341384364393546,0.0229770298202187,0.15315047746223,-3.58168568823388,"DOWN"
"ENSG00000103485.17","ENSG00000103485.17","QPRT",-0.821270726305492,-0.0469282909576805,-3.90746876776869,0.000348485474458059,0.0232018620386483,0.185892405233382,-3.57630467760964,"DOWN"
"ENSG00000105516.10","ENSG00000105516.10","DBP",-0.512362920238389,3.4207746382756,-3.88481366609351,0.000352649960034564,0.0232898707198833,0.147092225917714,-3.57319647404032,"DOWN"
"ENSG00000142544.6","ENSG00000142544.6","CTU1",-1.08274030271506,-0.993494902000711,-3.89157200547847,0.00035358223957465,0.0232898707198833,0.146428571258801,-3.57250536308147,"DOWN"
"ENSG00000143793.12","ENSG00000143793.12","C1orf35",-0.79007951812783,1.15552951480074,-3.88319811820163,0.000355849580837192,0.0233560989067928,0.154192675305217,-3.57083163999373,"DOWN"
"ENSG00000182179.12","ENSG00000182179.12","UBA7",-0.553781868463462,2.72153830717171,-3.88143478960962,0.000362124173753867,0.0234030327578877,0.111123133532029,-3.56625127589032,"DOWN"
"ENSG00000237742.6","ENSG00000237742.6","RP11-624M8.1",-1.07673737935588,-0.491158555246529,-3.88658709682835,0.000365467863131048,0.0234030327578877,0.14168858212226,-3.56384065485007,"DOWN"
"ENSG00000255495.1","ENSG00000255495.1","AC145124.2",-0.646366267846537,0.0376217271629625,-3.86814952725307,0.000373156093297951,0.0234030327578877,0.119939894578216,-3.55837514786641,"DOWN"
"ENSG00000108556.7","ENSG00000108556.7","CHRNE",-0.862489699466462,0.0851801351618996,-3.86827207894812,0.00037754372258859,0.0234030327578877,0.101139368974159,-3.55530301314032,"DOWN"
"ENSG00000163220.10","ENSG00000163220.10","S100A9",-0.701235063944764,0.820775839505891,-3.89637905497987,0.000378141078806587,0.0234030327578877,0.147469227855945,-3.55488733948844,"DOWN"
"ENSG00000173868.11","ENSG00000173868.11","PHOSPHO1",-0.915418787411318,-0.223463784836919,-3.87014332094337,0.000383450977765419,0.0234030327578877,0.0822758521419127,-3.5512191579075,"DOWN"
"ENSG00000196735.11","ENSG00000196735.11","HLA-DQA1",-0.557033947523231,1.70123091551834,-3.86771544529547,0.000384036138856691,0.0234030327578877,0.0676169449519657,-3.55081782577726,"DOWN"
"ENSG00000279609.1","ENSG00000279609.1","RP11-235C23.6",-0.749176691470656,-0.388328399143865,-3.8577991347466,0.000394985783097146,0.0236580948366102,0.0534913872127474,-3.54341154886905,"DOWN"
"ENSG00000104885.17","ENSG00000104885.17","DOT1L",-0.516483222928596,3.8718077735227,-3.83925229743531,0.00039742366272548,0.0236580948366102,0.101695150236047,-3.54178871922753,"DOWN"
"ENSG00000176349.11","ENSG00000176349.11","AC110781.3",-1.14116728588387,-0.498467301322041,-3.84054098164574,0.000400902365761637,0.0236580948366102,0.053820513563533,-3.53948907376816,"DOWN"
"ENSG00000197977.3","ENSG00000197977.3","ELOVL2",-1.03369054129323,-0.951303957809789,-3.85315854865555,0.000401478308549482,0.0236580948366102,0.0402492612049246,-3.53911013857925,"DOWN"
"ENSG00000105559.11","ENSG00000105559.11","PLEKHA4",-0.746298220332194,1.83410665148387,-3.8501779037253,0.000403127398856808,0.0236580948366102,0.0290838456543456,-3.53802793994822,"DOWN"
"ENSG00000107738.19","ENSG00000107738.19","VSIR",-0.636542902029402,2.96311490160412,-3.83097608442092,0.000417727344075531,0.024128261902622,-0.00386283618957872,-3.52862326931979,"DOWN"
"ENSG00000173894.10","ENSG00000173894.10","CBX2",-1.37947870253799,-0.854168298153285,-3.77518406764348,0.000418454377370019,0.024128261902622,-0.0361034058932361,-3.52816301126429,"DOWN"
"ENSG00000158850.14","ENSG00000158850.14","B4GALT3",-0.720179780554653,2.16603381600322,-3.82299285820262,0.000422845674402008,0.024254555983332,0.00476870437849897,-3.52539881785816,"DOWN"
"ENSG00000269973.1","ENSG00000269973.1","RP11-95D17.1",-1.25100895701789,-0.962004548693237,-3.76599152145922,0.000430662342711851,0.024254555983332,-0.0611623557787286,-3.52054411806048,"DOWN"
"ENSG00000250506.7","ENSG00000250506.7","CDK3",-1.12510465800507,-0.723208914476473,-3.82515283366549,0.000432438460991926,0.024254555983332,-0.0127865774769029,-3.51945250136984,"DOWN"
"ENSG00000228816.1","ENSG00000228816.1","AK3P5",-1.3106873689194,-1.04796148639364,-3.80055648535155,0.000466187758811472,0.0247460320267766,-0.0113254318562603,-3.49946788482653,"DOWN"
"ENSG00000244731.7","ENSG00000244731.7","C4A",-0.753305243188676,0.197479547316667,-3.79779529699012,0.000469076794860982,0.0247460320267766,-0.111992794183748,-3.49782046021817,"DOWN"
"ENSG00000107317.12","ENSG00000107317.12","PTGDS",-0.659682066723076,3.07084248753208,-3.80069063847564,0.000471246536433229,0.0247460320267766,-0.109812869828037,-3.49658941371968,"DOWN"
"ENSG00000108679.12","ENSG00000108679.12","LGALS3BP",-0.532622257831387,3.28684033318578,-3.79487665508809,0.000474055478779695,0.0247460320267766,-0.125012534503061,-3.49500353378975,"DOWN"
"ENSG00000254461.1","ENSG00000254461.1","RP11-755F10.3",-1.15755660589528,-0.751205638170366,-3.77147173922605,0.00047410290208053,0.0247460320267766,-0.0761468165730417,-3.49497683474055,"DOWN"
"ENSG00000230703.1","ENSG00000230703.1","RP11-293P20.4",-0.512335124823403,0.130435064986159,-3.79314539152476,0.000484868465060172,0.0247460320267766,-0.129366861981952,-3.48897942685357,"DOWN"
"ENSG00000284341.1","ENSG00000284341.1","RP11-229P13.28",-0.653637776166999,2.6962109612677,-3.78833790104497,0.00048933209367336,0.0247460320267766,-0.14277973229367,-3.48652912737039,"DOWN"
"ENSG00000178445.9","ENSG00000178445.9","GLDC",-1.17546855682496,-0.761607580805144,-3.77750453556022,0.000499661569909423,0.0251310760800367,-0.156930184767459,-3.480937767577,"DOWN"
"ENSG00000160326.13","ENSG00000160326.13","SLC2A6",-1.19873280955136,-0.871784692787877,-3.7652053586956,0.000507312747469558,0.0253876983277739,-0.188108690548606,-3.47686523203384,"DOWN"
