"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000233593.8","ENSG00000233593.8","RP4-665J23.1",0.505588053308935,0.379901208201358,3.80120700284508,0.000469075856827477,0.0247460320267766,-0.0996828790952753,3.49782099357819,"UP"
"ENSG00000171121.16","ENSG00000171121.16","KCNMB3",0.534351907083351,2.84491974635477,3.79486324807664,0.000478886281249028,0.0247460320267766,-0.087388745740494,3.49229653508959,"UP"
"ENSG00000104427.11","ENSG00000104427.11","ZC2HC1A",0.708288494686575,1.360292982512,3.79088224720633,0.00048129407742504,0.0247460320267766,-0.123625886397396,3.49095679517657,"UP"
"ENSG00000183562.3","ENSG00000183562.3","CTC-343N3.1",0.781531671233791,0.837871559854436,3.78956746548543,0.000483320497522426,0.0247460320267766,-0.116959823916284,3.4898340952806,"UP"
"ENSG00000255455.2","ENSG00000255455.2","RP11-890B15.3",0.517208971993855,2.28341763130248,3.78326658608206,0.000484478917901113,0.0247460320267766,-0.141881492334079,3.48919426490499,"UP"
"ENSG00000198185.11","ENSG00000198185.11","ZNF334",0.661254052258667,0.407192538041397,3.80028372967705,0.000488035409805832,0.0247460320267766,-0.109847830847286,3.48723878391491,"UP"
"ENSG00000182405.5","ENSG00000182405.5","PGBD4",0.553277968652092,0.991269848446346,3.78385956687458,0.000532452002016108,0.0259346160666214,-0.143793701322412,3.46387594427261,"UP"
"ENSG00000251634.2","ENSG00000251634.2","RP11-1280N14.3",0.642615925561592,0.647601887120138,3.7357009454141,0.000564669519638656,0.026575587798874,-0.262680777765837,3.44804042379476,"UP"
"ENSG00000273891.1","ENSG00000273891.1","RP11-500G22.5",0.696277181345825,0.4981534641154,3.73583209270877,0.000574227958058411,0.026575587798874,-0.270275595464229,3.44350406663652,"UP"
"ENSG00000163577.7","ENSG00000163577.7","EIF5A2",1.12237641216033,0.548982702397249,3.67289593829066,0.000575195001008355,0.026575587798874,-0.318230535383228,3.44304904016258,"UP"
"ENSG00000248124.7","ENSG00000248124.7","RRN3P1",0.503533313301543,1.53406079859354,3.72982899783905,0.00057719141192812,0.026575587798874,-0.294034160038017,3.44211191003664,"UP"
"ENSG00000111404.6","ENSG00000111404.6","RERGL",0.74800977384324,-0.54431983362986,3.73346440029392,0.000581221311662,0.026575587798874,-0.284276824531196,3.44022940432562,"UP"
"ENSG00000048540.14","ENSG00000048540.14","LMO3",0.710358226935948,0.670228356043448,3.70305206979748,0.000621730744812035,0.0272511183509852,-0.368687513286276,3.42195293641397,"UP"
"ENSG00000156384.14","ENSG00000156384.14","SFR1",0.734787174324074,0.518306347700227,3.74259716244477,0.000637235447211224,0.0275387810556593,-0.251903329373859,3.41524978976967,"UP"
"ENSG00000276809.1","ENSG00000276809.1","RP11-10E18.7",1.3583667094458,-0.656471950640125,3.6097816455051,0.000698507856043551,0.0292504115554527,-0.488063969049073,3.39016414594073,"UP"
"ENSG00000125631.7","ENSG00000125631.7","HTR5BP",1.16050746039183,-1.01692195139631,3.6611898193393,0.000702854397540199,0.0293018574578933,-0.393819845695781,3.38846327744868,"UP"
"ENSG00000241680.1","ENSG00000241680.1","RPL31P49",0.701212999067763,-0.628076626871043,3.66201944118553,0.00070345836258435,0.0293018574578933,-0.470401612861553,3.38822771054502,"UP"
"ENSG00000169989.2","ENSG00000169989.2","TIGD4",1.10820424037401,-0.766543287000898,3.65650025145481,0.000746926149772906,0.0299161469847857,-0.480344260861963,3.37174852499254,"UP"
"ENSG00000261096.1","ENSG00000261096.1","RP11-690I21.2",0.753521069477545,-0.17958587940005,3.66321476334999,0.000755235792365492,0.0299161469847857,-0.469503420758024,3.36870001035336,"UP"
"ENSG00000171806.11","ENSG00000171806.11","METTL18",0.554096779851275,0.251724482569739,3.63238525286191,0.000770514443829838,0.0302149403407764,-0.550985917122471,3.36317520809732,"UP"
"ENSG00000229206.3","ENSG00000229206.3","RP11-397O4.1",0.994090457472073,-0.654710247685523,3.64009083310476,0.000781209206391776,0.0304408446339061,-0.469288983626757,3.35936814656418,"UP"
"ENSG00000261114.1","ENSG00000261114.1","RP11-325K4.2",0.871117771216068,-0.113343270279295,3.64091001805202,0.000785397103061517,0.030532116624822,-0.523811964741418,3.3578905316005,"UP"
"ENSG00000270728.1","ENSG00000270728.1","RP4-657E11.10",0.549213769628325,-0.602257264408112,3.60776181791612,0.000824110843839314,0.0312922262318125,-0.618343715880435,3.34456712568305,"UP"
"ENSG00000272150.5","ENSG00000272150.5","NBPF25P",0.772500482785755,0.555724381793672,3.6059627031977,0.000847965574849585,0.031707060252305,-0.604528545135882,3.33664377291948,"UP"
"ENSG00000255125.1","ENSG00000255125.1","RP11-685M7.5",0.800136416491329,0.343261571055208,3.58830488592942,0.000857798519436908,0.0318815116390717,-0.663739360038923,3.33343779012923,"UP"
"ENSG00000198189.10","ENSG00000198189.10","HSD17B11",0.519978292991434,2.21830117811215,3.56878911257447,0.000898555425676767,0.0322988409598041,-0.700806951385431,3.32050253658769,"UP"
"ENSG00000281016.1","ENSG00000281016.1","RP11-2H3.7",0.676446423406428,0.0718558879132061,3.56328637309187,0.000912055046761596,0.0324638978086738,-0.682202232926857,3.31633782633635,"UP"
