"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000266997.2","ENSG00000266997.2","RP11-886H22.1",0.345868373915892,2.83981864039784,4.50500673881024,5.24118179318538e-05,0.0104362798846719,1.87495044704062,4.04460319853453,"p-value"
"ENSG00000254422.1","ENSG00000254422.1","RP11-864G5.3",0.355731898160782,2.93053343817604,4.51284361724148,5.24379506874754e-05,0.0104362798846719,1.89126622610094,4.0444864062599,"p-value"
"ENSG00000144736.13","ENSG00000144736.13","SHQ1",0.379177093462305,2.1922669365202,4.48352656297203,5.6533795086631e-05,0.0108243228833614,1.80236525159781,4.02683033562826,"p-value"
"ENSG00000256646.7","ENSG00000256646.7","RP11-111K18.1",0.288906013856611,4.19750093371372,4.47424486461516,5.82392363283919e-05,0.0108243228833614,1.78263204669032,4.01983370123903,"p-value"
"ENSG00000260934.1","ENSG00000260934.1","CTA-363E6.7",-0.406694894183192,2.04129426941238,-4.48603383269231,5.83947876211123e-05,0.0108243228833614,1.79368518050652,-4.01920523661586,"p-value"
"ENSG00000092871.16","ENSG00000092871.16","RFFL",0.178788453443631,4.14972514781773,4.47609395835384,5.9022248882677e-05,0.0108243228833614,1.75558537129236,4.01668613460965,"p-value"
"ENSG00000213741.9","ENSG00000213741.9","RPS29",0.324658416576556,5.08564990107601,4.46076676125745,6.03756886955712e-05,0.0108243228833614,1.72449932243213,4.01133765059349,"p-value"
"ENSG00000117479.12","ENSG00000117479.12","SLC19A2",0.367495252118517,5.24081339325127,4.46087690135996,6.07364784484407e-05,0.0108243228833614,1.72608990442966,4.0099310597949,"p-value"
"ENSG00000145592.13","ENSG00000145592.13","RPL37",0.232296673516404,5.85147517320893,4.46171074287137,6.10226068543752e-05,0.0108243228833614,1.71758412013835,4.00882116070689,"p-value"
"ENSG00000272918.1","ENSG00000272918.1","CTB-152G17.6",0.316023886072278,2.37828750470081,4.46236085903623,6.12570817316649e-05,0.0108243228833614,1.72632721589301,4.00791529421882,"p-value"
"ENSG00000100601.9","ENSG00000100601.9","ALKBH1",0.489789851634262,2.09446409848311,4.42337527171517,6.81637703933222e-05,0.0118042092893554,1.61955971947034,3.9826057779573,"p-value"
